system:time_start,potential_evaporation_1,temperature_2m,total_precipitation_1
"Jan 1, 1981",-5.091,279.954,0.773
"Feb 1, 1981",-5.994,282.402,1.287
"Mar 1, 1981",-6.915,284.948,6.689
"Apr 1, 1981",-8.531,287.522,4.7
"May 1, 1981",-6.445,287.993,7.514
"Jun 1, 1981",-5.599,289.551,29.111
"Jul 1, 1981",-6.82,289.733,15.865
"Aug 1, 1981",-6.787,290.504,20.699
"Sep 1, 1981",-4.963,289.271,24.372
"Oct 1, 1981",-6.465,287.874,2.832
"Nov 1, 1981",-4.965,285.674,5.6
"Dec 1, 1981",-4.604,281.663,1.403
"Jan 1, 1982",-5.449,279.956,0.727
"Feb 1, 1982",-6.181,282.809,2.383
"Mar 1, 1982",-8.394,285.732,2.486
"Apr 1, 1982",-6.044,285.596,5.996
"May 1, 1982",-8.209,288.336,6.932
"Jun 1, 1982",-6.877,289.55,9.81
"Jul 1, 1982",-7.567,290.473,21.587
"Aug 1, 1982",-5.586,289.474,20.938
"Sep 1, 1982",-6.678,289.165,6.779
"Oct 1, 1982",-6.805,287.164,1.617
"Nov 1, 1982",-5.717,285.462,3.8
"Dec 1, 1982",-5.103,281.717,0.82
"Jan 1, 1983",-4.2,281.112,3.414
"Feb 1, 1983",-3.371,281.945,10.026
"Mar 1, 1983",-4.773,283.616,11.712
"Apr 1, 1983",-10.221,287.454,2.459
"May 1, 1983",-5.945,288.011,12.491
"Jun 1, 1983",-8.793,289.75,11.869
"Jul 1, 1983",-9.813,290.734,6.778
"Aug 1, 1983",-6.754,289.891,13.182
"Sep 1, 1983",-7.361,289.427,5.784
"Oct 1, 1983",-6.436,288.691,4.898
"Nov 1, 1983",-6.323,283.666,0.706
"Dec 1, 1983",-5.213,280.551,1.038
"Jan 1, 1984",-5.428,280.375,0.5
"Feb 1, 1984",-5.816,282.109,1.332
"Mar 1, 1984",-6.725,284.155,3.045
"Apr 1, 1984",-6.383,286.517,6.53
"May 1, 1984",-6.077,287.81,12.833
"Jun 1, 1984",-7.46,289.978,8.304
"Jul 1, 1984",-8.126,289.683,10.147
"Aug 1, 1984",-5.942,289.821,18.178
"Sep 1, 1984",-7.552,288.689,7.19
"Oct 1, 1984",-5.757,287.352,11.601
"Nov 1, 1984",-5.612,285.542,1.644
"Dec 1, 1984",-5.137,281.702,1.434
"Jan 1, 1985",-5.364,280.592,1.372
"Feb 1, 1985",-4.201,283.79,8.207
"Mar 1, 1985",-7.326,284.645,2.414
"Apr 1, 1985",-5.768,286.034,6.867
"May 1, 1985",-6.461,288.663,13.949
"Jun 1, 1985",-4.989,289.639,17.698
"Jul 1, 1985",-7.982,289.605,9.193
"Aug 1, 1985",-5.631,289.497,14.831
"Sep 1, 1985",-5.417,288.907,14.628
"Oct 1, 1985",-6.165,288.005,3.961
"Nov 1, 1985",-5.211,284.429,2.537
"Dec 1, 1985",-5.517,281.569,2.171
"Jan 1, 1986",-5.195,279.437,0.636
"Feb 1, 1986",-4.039,279.635,4.295
"Mar 1, 1986",-5.959,282.951,5.188
"Apr 1, 1986",-8.461,287.631,2.475
"May 1, 1986",-5.298,288.295,22.089
"Jun 1, 1986",-6.585,289.577,15.398
"Jul 1, 1986",-8.015,290.065,11.344
"Aug 1, 1986",-7.594,290.063,16.023
"Sep 1, 1986",-6.383,288.895,15.995
"Oct 1, 1986",-6.126,287.317,3.624
"Nov 1, 1986",-5.097,286.04,4.577
"Dec 1, 1986",-5.125,282.803,1.144
"Jan 1, 1987",-5.665,280.672,1.645
"Feb 1, 1987",-7.735,282.272,2.145
"Mar 1, 1987",-7.906,285.454,3.65
"Apr 1, 1987",-8.403,287.238,5.026
"May 1, 1987",-7.411,288.419,6.709
"Jun 1, 1987",-5.437,290.047,15.241
"Jul 1, 1987",-6.674,290.291,19.046
"Aug 1, 1987",-7.634,290.116,9.555
"Sep 1, 1987",-5.617,288.838,15.033
"Oct 1, 1987",-6.368,288.065,8.557
"Nov 1, 1987",-5.204,286.796,3.112
"Dec 1, 1987",-4.632,282.009,2.217
"Jan 1, 1988",-5.623,283.019,2.609
"Feb 1, 1988",-6.071,283.171,1.547
"Mar 1, 1988",-7.47,285.698,3.246
"Apr 1, 1988",-5.335,286.213,9.768
"May 1, 1988",-7.163,289.311,9.207
"Jun 1, 1988",-8.195,289.803,8.598
"Jul 1, 1988",-7.978,290.641,11.936
"Aug 1, 1988",-6.464,289.19,17.779
"Sep 1, 1988",-5.251,289.14,13.886
"Oct 1, 1988",-5.152,288.724,10.83
"Nov 1, 1988",-5.079,284.013,3.091
"Dec 1, 1988",-5.703,281.239,1.065
"Jan 1, 1989",-5.464,282.594,1.475
"Feb 1, 1989",-7.252,281.989,0.638
"Mar 1, 1989",-7.113,283.162,4.11
"Apr 1, 1989",-6.739,286.618,6.868
"May 1, 1989",-7.178,288.179,11.985
"Jun 1, 1989",-7.413,289.468,8.617
"Jul 1, 1989",-6.969,289.977,15.189
"Aug 1, 1989",-6.999,289.946,8.59
"Sep 1, 1989",-5.137,289.021,26.467
"Oct 1, 1989",-5.943,287.858,4.373
"Nov 1, 1989",-5.903,284.615,1.474
"Dec 1, 1989",-5.452,281.273,2.391
"Jan 1, 1990",-4.594,281.367,2.172
"Feb 1, 1990",-6.269,283.479,3.31
"Mar 1, 1990",-6.218,284.108,3.21
"Apr 1, 1990",-5.494,286.967,12.202
"May 1, 1990",-7.417,288.775,7.466
"Jun 1, 1990",-6.214,290.182,19.46
"Jul 1, 1990",-8.396,290.151,7.574
"Aug 1, 1990",-6.7,290.288,28.948
"Sep 1, 1990",-5.736,289.335,15.5
"Oct 1, 1990",-6.431,287.333,3.341
"Nov 1, 1990",-6.339,285.729,1.007
"Dec 1, 1990",-5.795,282.601,0.436
"Jan 1, 1991",-6.026,281.84,1.397
"Feb 1, 1991",-5.93,281.621,1.693
"Mar 1, 1991",-9.009,286.104,2.472
"Apr 1, 1991",-9.227,287.545,3.229
"May 1, 1991",-9.289,289.102,5.292
"Jun 1, 1991",-9.311,290.591,10.478
"Jul 1, 1991",-8.61,290.5,10.72
"Aug 1, 1991",-7.531,290.302,7.45
"Sep 1, 1991",-5.293,289.506,13.727
"Oct 1, 1991",-5.232,287.088,4.889
"Nov 1, 1991",-5.03,284.324,2.742
"Dec 1, 1991",-5.018,281.841,2.575
"Jan 1, 1992",-4.714,279.843,2.179
"Feb 1, 1992",-4.667,281.285,6.795
"Mar 1, 1992",-7.718,284.985,3.912
"Apr 1, 1992",-6.47,286.403,12.415
"May 1, 1992",-5.93,287.694,9.598
"Jun 1, 1992",-7.072,289.372,6.373
"Jul 1, 1992",-8.439,289.979,11.221
"Aug 1, 1992",-5.553,289.956,26.975
"Sep 1, 1992",-5.917,289.576,17.276
"Oct 1, 1992",-6.795,287.14,1.828
"Nov 1, 1992",-6.078,284.172,1.019
"Dec 1, 1992",-6.212,283.154,1.06
"Jan 1, 1993",-6.586,280.557,1.55
"Feb 1, 1993",-8.031,282.297,0.693
"Mar 1, 1993",-7.251,284.183,3.866
"Apr 1, 1993",-7.892,286.629,4.559
"May 1, 1993",-8.604,288.497,8.642
"Jun 1, 1993",-7.577,289.559,9.883
"Jul 1, 1993",-8.895,290.399,9.377
"Aug 1, 1993",-7.754,290.078,8.658
"Sep 1, 1993",-7.373,288.844,5.52
"Oct 1, 1993",-5.727,287.035,3.747
"Nov 1, 1993",-5.464,286.162,3.596
"Dec 1, 1993",-5.123,282.885,1.966
"Jan 1, 1994",-4.663,281.67,1.972
"Feb 1, 1994",-4.626,283.259,4.617
"Mar 1, 1994",-5.5,283.295,3.804
"Apr 1, 1994",-9.049,287.952,2.692
"May 1, 1994",-6.957,288.909,9.599
"Jun 1, 1994",-7.033,289.893,12.476
"Jul 1, 1994",-6.821,290.263,25.66
"Aug 1, 1994",-5.949,289.578,30.732
"Sep 1, 1994",-6.763,288.632,4.716
"Oct 1, 1994",-6.567,286.257,5.621
"Nov 1, 1994",-6.783,285.288,0.686
"Dec 1, 1994",-6.189,284.62,1.976
"Jan 1, 1995",-5.788,281.087,1.454
"Feb 1, 1995",-4.354,280.823,4.212
"Mar 1, 1995",-6.066,283.821,3.699
"Apr 1, 1995",-9.603,287.777,2.954
"May 1, 1995",-7.126,288.235,6.303
"Jun 1, 1995",-9.154,290.179,16.246
"Jul 1, 1995",-6.314,289.761,16.581
"Aug 1, 1995",-6.201,289.428,12.045
"Sep 1, 1995",-6.959,289.285,8.662
"Oct 1, 1995",-6.548,288.445,3.009
"Nov 1, 1995",-5.534,284.513,3.22
"Dec 1, 1995",-5.976,281.201,0.601
"Jan 1, 1996",-7.553,281.011,0.402
"Feb 1, 1996",-7.551,281.476,0.999
"Mar 1, 1996",-10.353,285.693,1.483
"Apr 1, 1996",-6.8,285.127,6.973
"May 1, 1996",-5.448,288.087,14.797
"Jun 1, 1996",-9.354,289.943,6.024
"Jul 1, 1996",-9.149,290.334,27.628
"Aug 1, 1996",-7.02,289.689,16.114
"Sep 1, 1996",-7.551,289.556,7.095
"Oct 1, 1996",-5.387,287.736,9.657
"Nov 1, 1996",-5.751,286.508,4.555
"Dec 1, 1996",-5.228,281.308,0.572
"Jan 1, 1997",-5.55,280.438,1.673
"Feb 1, 1997",-4.72,282.267,4.806
"Mar 1, 1997",-7.646,284.656,3.698
"Apr 1, 1997",-7.51,286.457,4.203
"May 1, 1997",-8.134,288.242,7.801
"Jun 1, 1997",-5.753,288.826,14.582
"Jul 1, 1997",-6.475,289.486,12.165
"Aug 1, 1997",-5.706,289.757,21.723
"Sep 1, 1997",-5.707,288.397,8.046
"Oct 1, 1997",-6.281,287.404,3.099
"Nov 1, 1997",-7.116,285.145,0.692
"Dec 1, 1997",-6.279,283.4,0.986
"Jan 1, 1998",-6.662,282.887,3.443
"Feb 1, 1998",-5.226,283.44,6.392
"Mar 1, 1998",-7.503,285.838,4.623
"Apr 1, 1998",-8.409,287.16,5.842
"May 1, 1998",-6.409,288.835,11.686
"Jun 1, 1998",-6.95,289.985,17.764
"Jul 1, 1998",-8.729,290.342,6.209
"Aug 1, 1998",-7.504,290.427,14.483
"Sep 1, 1998",-5.717,289.333,8.447
"Oct 1, 1998",-5.617,288.296,20.077
"Nov 1, 1998",-5.7,286.695,3.183
"Dec 1, 1998",-4.806,284.454,3.823
"Jan 1, 1999",-4.947,282.574,1.511
"Feb 1, 1999",-6.685,281.793,0.741
"Mar 1, 1999",-8.699,286.146,2.284
"Apr 1, 1999",-8.299,287.259,4.043
"May 1, 1999",-6.171,287.62,13.578
"Jun 1, 1999",-6.936,289.653,11.395
"Jul 1, 1999",-5.476,289.848,15.614
"Aug 1, 1999",-6.532,289.513,18.74
"Sep 1, 1999",-6.345,289.241,10.528
"Oct 1, 1999",-5.575,287.948,5.723
"Nov 1, 1999",-5.605,285.284,2.176
"Dec 1, 1999",-4.421,282.052,5.014
"Jan 1, 2000",-5.94,281.629,1
"Feb 1, 2000",-4.429,282.572,5.684
"Mar 1, 2000",-6.971,284.762,2.223
"Apr 1, 2000",-5.907,286.923,8.552
"May 1, 2000",-6.664,287.962,6.955
"Jun 1, 2000",-7.544,289.377,12.828
"Jul 1, 2000",-6.509,289.617,16.561
"Aug 1, 2000",-5.698,289.159,23.593
"Sep 1, 2000",-6.389,288.43,7.776
"Oct 1, 2000",-6.8,288.532,13.605
"Nov 1, 2000",-4.743,286.317,4.666
"Dec 1, 2000",-5.242,283.754,2.25
"Jan 1, 2001",-5.237,282.039,4.169
"Feb 1, 2001",-6.117,283.324,0.901
"Mar 1, 2001",-8.161,284.716,3.478
"Apr 1, 2001",-6.06,286.871,7.229
"May 1, 2001",-5.687,288.594,13.813
"Jun 1, 2001",-7.2,289.319,11.692
"Jul 1, 2001",-6.695,289.777,24.002
"Aug 1, 2001",-6.846,289.959,7.577
"Sep 1, 2001",-4.753,288.707,32.092
"Oct 1, 2001",-5.952,287.887,2.932
"Nov 1, 2001",-5.85,283.945,1.705
"Dec 1, 2001",-5.43,282.507,1.114
"Jan 1, 2002",-6.49,281.057,1.925
"Feb 1, 2002",-6.455,281.887,0.672
"Mar 1, 2002",-8.28,285.205,3.173
"Apr 1, 2002",-10.227,287.836,1.853
"May 1, 2002",-7.955,288.794,5.98
"Jun 1, 2002",-7.661,289.619,9.824
"Jul 1, 2002",-6.611,290.138,18.542
"Aug 1, 2002",-7.374,289.933,9.719
"Sep 1, 2002",-6.088,288.58,7.726
"Oct 1, 2002",-5.376,287.353,5.527
"Nov 1, 2002",-5.645,284.559,1.534
"Dec 1, 2002",-5.018,282.703,3.671
"Jan 1, 2003",-5.003,279.928,1.355
"Feb 1, 2003",-7.332,282.971,0.525
"Mar 1, 2003",-7.114,284.049,2.658
"Apr 1, 2003",-7.326,287.408,7.3
"May 1, 2003",-7.893,288.822,4.368
"Jun 1, 2003",-6.997,289.141,13.479
"Jul 1, 2003",-8.906,290.511,7.258
"Aug 1, 2003",-6.315,290.012,17.705
"Sep 1, 2003",-6.253,289.383,11.867
"Oct 1, 2003",-5.907,286.602,4.699
"Nov 1, 2003",-5.05,286.052,4.484
"Dec 1, 2003",-5.519,281.393,0.296
"Jan 1, 2004",-5.322,280.29,1.159
"Feb 1, 2004",-5.893,282.013,2.678
"Mar 1, 2004",-6.291,284.538,3.704
"Apr 1, 2004",-7.44,286.567,4.77
"May 1, 2004",-8.007,288.813,7.93
"Jun 1, 2004",-7.52,289.494,6.793
"Jul 1, 2004",-7.729,289.381,32.229
"Aug 1, 2004",-6.457,289.839,19.757
"Sep 1, 2004",-5.889,288.689,16.08
"Oct 1, 2004",-7.583,286.055,1.937
"Nov 1, 2004",-8.057,285.43,0.586
"Dec 1, 2004",-6.297,282.25,5.025
"Jan 1, 2005",-6.909,280.976,0.594
"Feb 1, 2005",-6.428,283.337,3.724
"Mar 1, 2005",-5.642,282.649,5.93
"Apr 1, 2005",-7.816,286.531,3.708
"May 1, 2005",-7.823,288.913,7.656
"Jun 1, 2005",-5.49,289.317,17.493
"Jul 1, 2005",-8.289,290.088,30.601
"Aug 1, 2005",-5.837,289.554,34.288
"Sep 1, 2005",-7.374,289.344,10.858
"Oct 1, 2005",-5.961,287.482,7.608
"Nov 1, 2005",-5.483,285.729,3.523
"Dec 1, 2005",-4.617,281.689,1.292
"Jan 1, 2006",-5.516,282.573,1.021
"Feb 1, 2006",-6.967,283.189,2.128
"Mar 1, 2006",-6.502,284.027,4.093
"Apr 1, 2006",-6.559,287.314,8.12
"May 1, 2006",-6.422,288.38,11.608
"Jun 1, 2006",-6.304,289.138,18.734
"Jul 1, 2006",-7.167,290.236,25.824
"Aug 1, 2006",-6.446,289.801,16.563
"Sep 1, 2006",-5.224,288.789,14.45
"Oct 1, 2006",-6.329,287.711,2.176
"Nov 1, 2006",-5.221,285.766,3.133
"Dec 1, 2006",-5.715,282.703,1.627
"Jan 1, 2007",-5.478,281.679,1.983
"Feb 1, 2007",-8.276,282.766,0.949
"Mar 1, 2007",-7.416,285.126,2.545
"Apr 1, 2007",-6.642,286.03,7.066
"May 1, 2007",-8.129,288.103,7.454
"Jun 1, 2007",-5.828,289.263,12.746
"Jul 1, 2007",-8.27,290.298,12.077
"Aug 1, 2007",-5.199,289.367,31.196
"Sep 1, 2007",-5.256,289.151,13.32
"Oct 1, 2007",-5.652,287.809,20.737
"Nov 1, 2007",-4.805,285.481,7.052
"Dec 1, 2007",-5.501,282.96,1.074
"Jan 1, 2008",-5.027,283.236,2.09
"Feb 1, 2008",-4.832,280.578,2.822
"Mar 1, 2008",-7.244,283.105,3.596
"Apr 1, 2008",-6.748,287.149,4.58
"May 1, 2008",-6.939,288.16,6.876
"Jun 1, 2008",-6.974,289.094,11.788
"Jul 1, 2008",-6.418,289.655,36.798
"Aug 1, 2008",-7.598,289.745,9.458
"Sep 1, 2008",-5.623,289.117,40.812
"Oct 1, 2008",-5.806,288.487,4.844
"Nov 1, 2008",-5.55,284.789,3.235
"Dec 1, 2008",-6.81,281.739,1.022
"Jan 1, 2009",-7.722,279.779,0.314
"Feb 1, 2009",-9.463,285.381,0.56
"Mar 1, 2009",-7.546,285.532,3.722
"Apr 1, 2009",-5.765,285.855,8.289
"May 1, 2009",-8.348,287.518,3.268
"Jun 1, 2009",-6.854,289.409,10.536
"Jul 1, 2009",-7.675,290.349,9.908
"Aug 1, 2009",-6.079,290.31,46.25
"Sep 1, 2009",-6.272,289.963,10.767
"Oct 1, 2009",-5.651,288.231,8.464
"Nov 1, 2009",-5.975,285.462,1.557
"Dec 1, 2009",-5.554,281.512,1.305
"Jan 1, 2010",-5.545,281.979,1.252
"Feb 1, 2010",-7.048,283.681,3.291
"Mar 1, 2010",-8.771,285.282,1.431
"Apr 1, 2010",-7.722,287.069,7.252
"May 1, 2010",-7.481,288.877,8.769
"Jun 1, 2010",-6.193,289.422,9.502
"Jul 1, 2010",-6.939,289.894,14.714
"Aug 1, 2010",-6.718,290.103,15.613
"Sep 1, 2010",-5.559,289.251,22.904
"Oct 1, 2010",-5.06,287.708,9.962
"Nov 1, 2010",-5.008,284.845,3.396
"Dec 1, 2010",-5.95,281.515,1.69
"Jan 1, 2011",-4.683,279.977,1.112
"Feb 1, 2011",-6.792,281.666,1.209
"Mar 1, 2011",-6.6,283.347,2.407
"Apr 1, 2011",-7.87,285.622,3.139
"May 1, 2011",-6.673,288.73,10.019
"Jun 1, 2011",-7.937,289.858,11.873
"Jul 1, 2011",-6.231,289.915,16.191
"Aug 1, 2011",-6.48,289.789,18.505
"Sep 1, 2011",-6.744,289.249,4.586
"Oct 1, 2011",-4.753,287.647,11.787
"Nov 1, 2011",-4.362,286.484,8.896
"Dec 1, 2011",-3.876,282.729,2.493
"Jan 1, 2012",-4.565,281.573,1.808
"Feb 1, 2012",-4.901,283.169,3.718
"Mar 1, 2012",-7.438,285.195,1.981
"Apr 1, 2012",-6.612,287.063,7.392
"May 1, 2012",-6.327,288.818,10.591
"Jun 1, 2012",-5.372,290.033,31.393
"Jul 1, 2012",-6.881,290.097,11.181
"Aug 1, 2012",-5.371,289.538,34.175
"Sep 1, 2012",-6.852,288.843,5.271
"Oct 1, 2012",-7.582,287.263,1.58
"Nov 1, 2012",-4.876,285.621,4.667
"Dec 1, 2012",-4.056,282.593,4.533
"Jan 1, 2013",-5.263,281.542,1.227
"Feb 1, 2013",-7.868,284.95,0.541
"Mar 1, 2013",-9.55,285.329,2.014
"Apr 1, 2013",-5.741,286.491,9.643
"May 1, 2013",-5.144,288.43,9.221
"Jun 1, 2013",-7.835,289.941,7.386
"Jul 1, 2013",-7.014,289.472,19.89
"Aug 1, 2013",-6.253,289.894,27.755
"Sep 1, 2013",-6.57,289.328,13.137
"Oct 1, 2013",-6.704,287.13,2.225
"Nov 1, 2013",-5.093,284.841,3.471
"Dec 1, 2013",-4.548,281.479,3.234
"Jan 1, 2014",-6.915,279.804,0.294
"Feb 1, 2014",-5.778,281.629,3.21
"Mar 1, 2014",-6.51,284.399,3.231
"Apr 1, 2014",-6.73,287.052,4.411
"May 1, 2014",-5.435,288.26,10.795
"Jun 1, 2014",-5.988,290.172,11.521
"Jul 1, 2014",-8.269,290.975,14.563
"Aug 1, 2014",-6.731,290.105,12.126
"Sep 1, 2014",-6.763,289.998,11.773
"Oct 1, 2014",-7.172,287.481,2.083
"Nov 1, 2014",-5.506,285.312,2.038
"Dec 1, 2014",-4.072,281.889,2.304
"Jan 1, 2015",-5.526,281.333,0.633
"Feb 1, 2015",-6.779,281.699,1.23
"Mar 1, 2015",-7.078,285.025,3.487
"Apr 1, 2015",-8.946,286.726,3.929
"May 1, 2015",-7.766,289.004,19.081
"Jun 1, 2015",-9.761,290.343,3.35
"Jul 1, 2015",-6.934,289.954,14.052
"Aug 1, 2015",-6.067,289.533,21.702
"Sep 1, 2015",-5.907,289.063,16.557
"Oct 1, 2015",-5.751,288.136,4.227
"Nov 1, 2015",-5.219,286.452,3.305
"Dec 1, 2015",-5.119,283.954,2.19
"Jan 1, 2016",-3.38,281.883,7.133
"Feb 1, 2016",-5.068,281.342,1.825
"Mar 1, 2016",-5.474,283.488,7.012
"Apr 1, 2016",-8.23,287.608,5.851
"May 1, 2016",-6.934,289.294,7.824
"Jun 1, 2016",-7.573,290.106,10.083
"Jul 1, 2016",-7.834,290.366,22.577
"Aug 1, 2016",-5.741,290.213,19.759
"Sep 1, 2016",-4.736,289.505,28.532
"Oct 1, 2016",-5.443,289.371,16.205
"Nov 1, 2016",-5.332,286.486,4.752
"Dec 1, 2016",-5.42,284.204,1.205
"Jan 1, 2017",-6.46,283.284,0.831
"Feb 1, 2017",-6.701,282.306,1.515
"Mar 1, 2017",-7.502,284.409,3.251
"Apr 1, 2017",-7.915,286.651,8.72
"May 1, 2017",-6.673,288.554,9.333
"Jun 1, 2017",-6.658,289.833,12.904
"Jul 1, 2017",-7.478,290.276,15.76
"Aug 1, 2017",-7.36,290.56,7.776
"Sep 1, 2017",-7.14,290.342,8.382
"Oct 1, 2017",-6.375,288.549,5.971
"Nov 1, 2017",-4.516,286.729,6.007
"Dec 1, 2017",-4.771,282.932,0.856
"Jan 1, 2018",-4.286,282.429,5.442
"Feb 1, 2018",-4.962,281.866,2.508
"Mar 1, 2018",-7.612,283.613,2.458
"Apr 1, 2018",-6.911,286.493,4.98
"May 1, 2018",-9.122,289.423,4.423
"Jun 1, 2018",-6.338,289.94,17.261
"Jul 1, 2018",-6.473,289.955,8.926
"Aug 1, 2018",-4.779,289.762,36.311
"Sep 1, 2018",-6.306,289.412,11.597
"Oct 1, 2018",-5.942,286.82,4.365
"Nov 1, 2018",-6.176,285.927,1.343
"Dec 1, 2018",-6.44,284.88,0.573
"Jan 1, 2019",-6.486,283.255,1.195
"Feb 1, 2019",-8.596,284.924,0.929
"Mar 1, 2019",-6.997,285.024,6.801
"Apr 1, 2019",-8.796,287.863,4.001
"May 1, 2019",-4.978,288.361,11.671
"Jun 1, 2019",-6.51,289.878,10.395
"Jul 1, 2019",-7.124,290.535,10.477
"Aug 1, 2019",-5.382,290.393,22.576
"Sep 1, 2019",-6.468,289.338,7.941
"Oct 1, 2019",-6.663,287.686,1.758
"Nov 1, 2019",-6.628,286.209,0.994
"Dec 1, 2019",-5.491,283.661,4.023
"Jan 1, 2020",-6.513,282.563,1.727
"Feb 1, 2020",-6.572,282.913,1.626
"Mar 1, 2020",-7.483,285.649,2.994
"Apr 1, 2020",-7.608,285.738,5.357
"May 1, 2020",-7.83,289.621,13.421
"Jun 1, 2020",-9.27,290.406,4.109
"Jul 1, 2020",-8.118,290.72,9.563
"Aug 1, 2020",-7.012,290.18,9.744
"Sep 1, 2020",-7.258,289.703,5.2
"Oct 1, 2020",-5.957,288.914,2.884
"Nov 1, 2020",-5.544,287.016,2.044
"Dec 1, 2020",-5.198,284.39,1.508
"Jan 1, 2021",-6.487,280.89,0.637
"Feb 1, 2021",-8.132,283.055,2.072
"Mar 1, 2021",-9.273,285.695,1.614
"Apr 1, 2021",-8.502,287.036,3.106
"May 1, 2021",-11.815,290.391,3.27
"Jun 1, 2021",-5.716,289.971,15.717
"Jul 1, 2021",-7.86,290.715,12.869
"Aug 1, 2021",-5.923,290.145,22.754
"Sep 1, 2021",-7.584,290.047,6.633
"Oct 1, 2021",-6.203,288.335,9.471
"Nov 1, 2021",-5.25,285.53,2.337
"Dec 1, 2021",-5.237,283.007,1.389
"Jan 1, 2022",-5.328,282.214,3.305
"Feb 1, 2022",-5.07,282.599,5.296
"Mar 1, 2022",-6.959,285.799,3.924
"Apr 1, 2022",-7.422,286.667,4.378
"May 1, 2022",-5.106,288.416,14.059
"Jun 1, 2022",-8.028,289.851,8.213
"Jul 1, 2022",-7.78,290.978,7.804
